game_id,game_name,game_web,platform,wii,ps3,xbox360,critic_score,critic_score1,critic_score2,critic_score3,wii_score,ps3_score,xbox360_score,Check
620820,Defenders of Ardania,/xbox360/620820-defenders-of-ardania,xbox360,0,1,1,52,52,,,,,52,1
620822,The Gunstringer,/xbox360/620822-the-gunstringer,xbox360,0,0,1,77,77,,,,,77,1
620823,Pucca's Kisses Game,/wii/620823-puccas-kisses-game,wii,1,0,0,51,51,,,51,,,1
620881,Skullgirls,/ps3/620881-skullgirls,ps3,0,1,0,82,82,78,,,82,78,1
620887,Ridge Racer Unbounded,/ps3/620887-ridge-racer-unbounded,ps3,0,1,0,72,72,71,,,72,71,1
621031,Mayhem 3D,/xbox360/621031-mayhem-3d,xbox360,0,1,1,47,47,53,,,53,47,1
621185,Battlefield 3,/ps3/621185-battlefield-3,ps3,0,1,0,,,,,,85,84,1
621202,"Carnival Games: Monkey See, Monkey Do!",/xbox360/621202-carnival-games-monkey-see-monkey-do,xbox360,0,0,1,56,56,,,,,56,1
621206,Call of Juarez: The Cartel,/ps3/621206-call-of-juarez-the-cartel,ps3,0,1,0,45,45,47,,,45,47,1
621209,Tales From Space: About a Blob,/ps3/621209-tales-from-space-about-a-blob,ps3,0,1,0,,,,,,76,,1
621309,The Darkness II,/ps3/621309-the-darkness-ii,ps3,0,1,0,79,79,80,,,79,80,1
621319,Power Rangers Samurai,/wii/621319-power-rangers-samurai,wii,1,0,0,45,45,,,45,,,1
621364,Air Conflicts: Secret Wars,/ps3/621364-air-conflicts-secret-wars,ps3,0,1,0,51,51,61,,,51,61,1
621458,Rio,/ps3/621458-rio,ps3,1,1,0,,,,,,65,60,1
621666,Transformers: Dark of the Moon,/xbox360/621666-transformers-dark-of-the-moon,xbox360,1,1,1,59,59,34,57,34,57,59,1
621796,Assassin's Creed III,/ps3/621796-assassins-creed-iii,ps3,0,1,0,85,85,84,,,85,84,1
621801,Voltron: Defender of the Universe,/xbox360/621801-voltron-defender-of-the-universe,xbox360,1,1,1,50,50,52,,,52,50,1
622055,Cars 2: The Video Game,/xbox360/622055-cars-2-the-video-game,xbox360,1,1,1,72,72,74,69,69,74,72,1
622365,SpongeBob Squigglepants,/wii/622365-spongebob-squigglepants,wii,1,0,0,59,59,,,59,,,1
622370,The Testament of Sherlock Holmes,/ps3/622370-the-testament-of-sherlock-holmes,ps3,0,1,0,65,65,64,,,65,64,1
622414,Dead Island,/ps3/622414-dead-island,ps3,0,1,0,71,71,71,,,71,71,1
622441,Puzzle Agent,/ps3/622441-puzzle-agent,ps3,1,1,0,66,,66,,,66,,1
622500,Risen 2: Dark Waters,/xbox360/622500-risen-2-dark-waters,xbox360,0,1,1,60,60,47,,,47,60,1
622607,Akai Katana,/xbox360/622607-akai-katana,xbox360,0,0,1,75,75,,,,,75,1
622895,Orcs Must Die!,/xbox360/622895-orcs-must-die,xbox360,0,0,1,79,79,,,,,79,1
622897,Sesame Street: Once Upon a Monster,/xbox360/622897-sesame-street-once-upon-a-monster,xbox360,0,0,1,79,79,,,,,79,1
623058,Serious Sam 3: BFE,/xbox360/623058-serious-sam-3-bfe,xbox360,0,1,1,63,63,,,,,63,1
